"","Date","Open","High","Low","Close","Volume (BTC)","Volume (Currency)","Weighted Price"
"1",2014-10-22,385.79,388.87,380,386.59,5470.02965286,2099826.9379096,383.87852921632
"2",2014-10-21,381,393.55,378.98,385.81,7953.32305008,3078104.3883112,387.02116950729
"3",2014-10-20,389.06,390.65,376.2,381.21,12081.79942479,4614453.8341121,381.93431887672
"4",2014-10-19,390.59,394.25,385,387.53,3242.37367978,1262682.9535232,389.43165662782
"5",2014-10-18,383.2,397.29,377,390.58,7074.8254279,2746148.3091709,388.15774850661
"6",2014-10-17,384.19,386,370.96,383.65,10507.82628734,3989422.0045417,379.66196770384
"7",2014-10-16,394.52,399,370.1,383.95,22776.51542094,8706162.3358752,382.24294519921
"8",2014-10-15,402.01,404.32,385.92,394.52,19147.69042041,7537826.8116285,393.66767720424
"9",2014-10-14,392.99,417.99,390.48,403.38,24822.16245713,10060958.358894,405.32159018254
"10",2014-10-13,378.48,405,368.07,392.6,26083.74635605,10034403.054294,384.69945679283
"11",2014-10-12,362.77,383.6,354.71,378.11,14250.47171152,5236990.6329473,367.49594953505
"12",2014-10-11,360.85,368.06,352.1,362,9973.2687058,3594481.7007434,360.41159691738
"13",2014-10-10,364.01,380.08,351.1,360.89,20543.27563738,7440721.9533641,362.19744527134
"14",2014-10-09,355.73,395.55,349,364.01,47817.25004767,17652425.760088,369.1643861261
"15",2014-10-08,334.8,359,326.93,355.73,28614.8310651,9820002.2810776,343.1787613471
"16",2014-10-07,328.56,336.99,312.37,334.8,22961.89001301,7504310.0276696,326.81586852901
"17",2014-10-06,322.82,347,295.89,328.59,69537.66216756,21937271.108407,315.47323313148
"18",2014-10-05,326.24,339.43,275,323.52,61726.3716087,18876496.112647,305.80926143383
"19",2014-10-04,358.71,365.07,322.04,326.21,28981.80406599,9853710.2788114,339.99644247042
"20",2014-10-03,376.29,378.11,353.75,358.74,20408.97505396,7433824.4778396,364.24291068929
"21",2014-10-02,384.85,385.82,372,374.68,10414.19712293,3931402.9368125,377.5041791898
"22",2014-10-01,389.56,393.79,377.01,384.86,13037.59844952,5010051.9150718,384.27720676245
"23",2014-09-30,374.17,397.75,371.8,391.09,14289.95929522,5491849.4905261,384.31526480017
"24",2014-09-29,375.35,386.03,365.2,374.2,20026.50713044,7549530.1057314,376.97687652463
"25",2014-09-28,399.16,403.99,368.9,375.35,16139.76492826,6202488.2202045,384.29854757946
"26",2014-09-27,405.08,408.99,396.57,401.77,5472.59979258,2200884.4499305,402.16433383536
"27",2014-09-26,410,414.35,396.53,403.57,9921.11699487,4017440.7400276,404.93834939201
"28",2014-09-25,423.57,423.9,400,408.76,15016.869054,6175837.4245814,411.25999050621
"29",2014-09-24,440.85,441.78,418.83,423.68,14141.19892519,6065026.3042201,428.89053016688
"30",2014-09-23,399.77,452.67,393.6,438.97,26999.29385,11528951.840737,427.00938420049
